cell_index,outlier_cycle,anomaly_count,split
2017-05-12_5_4C-50per_3C_CH13,"[0, 12, 906, 156, 157]",5,train
2017-05-12_5_4C-50per_3C_CH14,"[0, 12, 156, 157]",4,train
2017-05-12_5_4C-60per_3C_CH15,"[0, 159, 160]",3,train
2017-05-12_5_4C-60per_3C_CH16,"[0, 159, 160, 711]",4,train
2017-05-12_5_4C-70per_3C_CH17,"[0, 40, 147, 148]",4,train
2017-05-12_5_4C-70per_3C_CH18,"[0, 147, 148, 688]",4,train
2017-05-12_6C-40per_3C_CH25,"[0, 142, 143, 683]",4,train
2017-05-12_6C-40per_3C_CH26,"[0, 141, 142, 673]",4,train
2017-05-12_6C-50per_3C_CH27,"[0, 143, 144, 687]",4,train
2017-05-12_6C-50per_3C_CH28,"[0, 143, 144, 653]",4,train
2017-05-12_6C-60per_3C_CH29,"[0, 145, 146, 147, 699]",5,train
2017-05-12_6C-60per_3C_CH30,"[0, 145, 146, 147]",4,train
2017-05-12_7C-40per_3C_CH37,"[0, 142, 143]",3,train
2017-05-12_7C-40per_3C_CH38,"[0, 141, 142]",3,train
2017-05-12_4C-80per_4C_CH5,"[0, 12, 155, 156, 676]",5,train
2017-05-12_4C-80per_4C_CH6,"[0, 12, 155, 156, 677, 880]",6,train
2017-05-12_4_4C-80per_4_4C_CH7,"[0, 158, 159, 692, 909]",5,train
2017-05-12_5_4C-80per_5_4C_CH11,"[0, 165, 166]",3,train
2017-05-12_5_4C-80per_5_4C_CH12,"[0, 13, 165]",3,train
2017-05-12_3_6C-80per_3_6C_CH1,"[0, 12, 148, 149, 654]",5,train
2017-05-12_3_6C-80per_3_6C_CH2,"[0, 151, 152]",3,train
2017-05-12_3_6C-80per_3_6C_CH3,"[0, 151, 152]",3,train
2017-05-12_5_4C-40per_3_6C_CH19,"[0, 143, 144, 145, 879]",5,train
2017-05-12_5_4C-40per_3_6C_CH20,"[0, 144, 145, 887]",4,test
2017-05-12_5_4C-50per_3_6C_CH21,"[0, 145, 146, 902]",4,test
2017-05-12_5_4C-50per_3_6C_CH22,"[0, 145, 146, 897]",4,test
2017-05-12_5_4C-60per_3_6C_CH23,"[0, 162, 163]",3,test
2017-05-12_5_4C-60per_3_6C_CH24,"[0, 147, 148]",3,test
2017-05-12_6C-30per_3_6C_CH31,"[0, 142, 143, 891]",4,test
2017-05-12_6C-30per_3_6C_CH32,"[0, 142, 143, 677, 894]",5,test
2017-05-12_6C-40per_3_6C_CH33,"[0, 144, 145, 677]",4,test
2017-05-12_6C-40per_3_6C_CH34,"[0, 144, 145]",3,test
2017-05-12_6C-50per_3_6C_CH35,"[0, 145, 146, 147]",4,test
2017-05-12_6C-50per_3_6C_CH36,"[0, 146, 147]",3,test
2017-05-12_7C-30per_3_6C_CH39,"[0, 144, 145, 636, 684]",5,test
2017-05-12_7C-30per_3_6C_CH40,"[0, 143, 144]",3,test
2017-05-12_7C-40per_3_6C_CH41,"[0, 145, 146]",3,test
2017-05-12_7C-40per_3_6C_CH42,"[0, 145, 146]",3,test
2017-05-12_8C-15per_3_6C_CH43,"[0, 140, 141, 658]",4,test
2017-05-12_8C-15per_3_6C_CH44,"[0, 140, 141]",3,test
2017-05-12_8C-25per_3_6C_CH45,"[0, 143, 144]",3,test
2017-05-12_8C-25per_3_6C_CH46,"[0, 143, 144]",3,test
2017-05-12_8C-35per_3_6C_CH47,"[0, 145, 146]",3,test
2017-05-12_8C-35per_3_6C_CH48,"[0, 146, 147]",3,test
2017-05-12_4_8C-80per_4_8C_CH9,[0],1,test
2017-05-12_4_8C-80per_4_8C_CH10,"[0, 161, 162]",3,test
